00.00,21.25,21.25,21.25,21.50,21.31,25.75
02.39,21.50,21.25,21.25,21.50,21.38,25.69
04.40,21.50,21.25,21.25,21.75,21.44,25.75
07.00,21.50,21.50,21.25,21.50,21.44,25.69
09.04,21.50,21.25,21.25,21.50,21.38,25.75
10.81,21.50,21.25,21.25,21.50,21.38,25.69
12.88,21.00,21.25,21.00,21.25,21.12,25.75
14.86,21.25,21.00,21.00,21.25,21.12,25.69
16.84,21.00,20.75,20.75,20.75,20.81,25.62
18.88,20.75,20.75,20.50,20.75,20.69,25.69
20.89,20.75,20.50,20.50,20.50,20.56,25.75
22.90,20.50,20.50,20.50,20.25,20.44,25.75
24.66,20.00,20.25,20.25,20.00,20.12,25.75
26.89,20.00,20.00,20.00,19.75,19.94,25.69
29.10,19.75,19.75,19.75,19.50,19.69,25.69
31.12,19.50,19.50,19.50,19.25,19.44,25.75
33.14,19.50,19.25,19.50,19.00,19.31,25.75
35.17,19.25,19.00,19.25,18.75,19.06,25.75
37.14,19.00,19.00,19.25,18.75,19.00,25.75
39.18,18.75,18.50,18.75,18.50,18.62,25.75
41.22,18.50,18.50,18.75,18.25,18.50,25.75
43.20,18.25,18.25,18.50,18.00,18.25,25.75
45.15,18.25,18.00,18.25,17.75,18.06,25.75
47.11,18.00,17.75,18.00,17.50,17.81,25.75
49.07,17.75,17.50,17.75,17.25,17.56,25.75
51.06,17.50,17.25,17.50,17.25,17.38,25.75
53.27,17.25,17.25,17.25,17.00,17.19,25.81
55.26,17.00,16.75,17.25,16.75,16.94,25.75
57.27,16.75,16.75,17.00,16.50,16.75,25.75
59.29,16.75,16.75,16.75,16.50,16.69,25.75
61.33,16.50,16.50,16.75,16.25,16.50,25.81
63.33,16.25,16.25,16.50,16.00,16.25,25.75
65.34,16.25,16.00,16.50,16.00,16.19,25.81
67.39,16.00,16.00,16.25,15.75,16.00,25.75
69.40,16.00,15.75,16.25,15.50,15.88,25.81
71.43,15.50,15.75,16.00,15.50,15.69,25.81
73.43,15.50,15.50,15.75,15.25,15.50,25.81
75.41,15.25,15.25,15.50,15.00,15.25,25.81
77.44,15.00,15.00,15.25,14.75,15.00,25.81
79.62,14.75,15.00,15.25,14.50,14.88,25.81
81.63,14.75,14.75,15.00,14.50,14.75,25.81
83.68,14.50,14.50,14.75,14.25,14.50,25.88
85.68,14.50,14.50,14.75,14.25,14.50,25.81
87.69,14.25,14.25,14.50,14.00,14.25,25.81
89.66,14.25,14.25,14.50,14.00,14.25,25.81
91.63,14.00,14.00,14.25,13.75,14.00,25.81
93.61,14.00,14.00,14.00,13.75,13.94,25.81
95.64,13.75,13.75,14.00,13.50,13.75,25.88
97.70,13.75,13.75,14.00,13.50,13.75,25.88
99.72,13.50,13.50,13.75,13.25,13.50,25.81
101.73,13.50,13.50,13.75,13.50,13.56,25.81
103.76,13.50,13.50,13.75,13.50,13.56,25.81
105.73,13.50,13.75,13.75,13.50,13.62,25.81
107.94,13.50,13.50,13.75,13.50,13.56,25.81
109.93,13.50,13.50,13.75,13.50,13.56,25.81
111.92,13.50,13.75,13.75,13.75,13.69,25.88
113.92,13.75,13.75,13.75,13.75,13.75,25.88
115.90,13.75,13.75,13.75,13.75,13.75,25.81
117.87,13.75,14.00,14.00,14.00,13.94,25.81
119.93,14.00,14.00,14.00,13.75,13.94,25.75
121.93,14.00,14.00,14.00,14.00,14.00,25.81
123.94,14.00,14.00,14.00,14.25,14.06,25.88
126.00,14.25,14.00,14.00,14.25,14.12,25.81
128.00,14.25,14.25,14.25,14.50,14.31,25.81
130.00,14.25,14.50,14.25,14.50,14.38,25.81
132.03,14.50,14.50,14.50,14.75,14.56,25.88
134.19,14.50,14.75,14.50,14.75,14.62,25.81
136.21,14.75,14.75,14.75,14.75,14.75,25.81
138.21,14.75,14.75,14.75,14.75,14.75,25.81
140.20,14.75,14.75,14.75,14.75,14.75,25.81
142.23,14.75,14.75,14.75,14.75,14.75,25.81
144.33,14.75,15.00,14.75,15.00,14.88,25.81
146.39,14.75,15.00,14.75,15.00,14.88,25.75
148.46,14.75,15.00,14.75,14.75,14.81,25.81
150.52,14.75,15.00,14.75,15.00,14.88,25.81
