created_at,entry_id,field3
2024-06-07 17:14:23 UTC,1865,51.98850
2024-06-07 17:14:39 UTC,1866,51.18134
2024-06-07 17:14:55 UTC,1867,56.20938
2024-06-07 17:15:11 UTC,1868,51.67665
2024-06-07 17:15:27 UTC,1869,59.51860
2024-06-07 17:15:43 UTC,1870,54.30362
2024-06-07 17:15:59 UTC,1871,62.20910
2024-06-07 17:16:15 UTC,1872,56.27145
2024-06-07 17:16:31 UTC,1873,55.40529
2024-06-07 17:16:47 UTC,1874,53.25726
2024-06-07 17:17:03 UTC,1875,55.42561
2024-06-07 17:17:19 UTC,1876,51.77789
2024-06-07 17:17:35 UTC,1877,54.75073
2024-06-07 17:17:51 UTC,1878,52.53813
2024-06-07 17:18:07 UTC,1879,56.67019
2024-06-07 17:18:23 UTC,1880,49.16588
2024-06-07 17:18:39 UTC,1881,58.52615
2024-06-07 17:18:55 UTC,1882,57.86213
2024-06-07 17:19:11 UTC,1883,50.95887
2024-06-07 17:19:27 UTC,1884,54.70913
2024-06-07 17:19:43 UTC,1885,59.50647
2024-06-07 17:19:59 UTC,1886,53.67427
2024-06-07 17:20:15 UTC,1887,54.06600
2024-06-07 17:20:31 UTC,1888,54.94703
2024-06-07 17:20:49 UTC,1889,51.74618
2024-06-07 17:21:05 UTC,1890,53.73587
2024-06-07 17:21:21 UTC,1891,52.03314
2024-06-07 17:21:37 UTC,1892,55.19976
2024-06-07 17:21:53 UTC,1893,54.26236
2024-06-07 17:22:11 UTC,1894,52.35366
2024-06-07 17:22:26 UTC,1895,53.05909
2024-06-07 17:22:42 UTC,1896,51.69631
2024-06-07 17:22:58 UTC,1897,54.55952
2024-06-07 17:23:14 UTC,1898,50.98326
2024-06-07 17:23:30 UTC,1899,49.82024
2024-06-07 17:23:49 UTC,1900,54.46586
2024-06-07 17:24:04 UTC,1901,49.21215
2024-06-07 17:24:20 UTC,1902,49.89793
2024-06-07 17:24:36 UTC,1903,49.39283
2024-06-07 17:24:52 UTC,1904,48.65055
2024-06-07 17:25:08 UTC,1905,50.26237
2024-06-07 17:25:24 UTC,1906,50.10666
2024-06-07 17:25:40 UTC,1907,50.65796
2024-06-07 17:25:56 UTC,1908,50.29247
2024-06-07 17:26:12 UTC,1909,51.51829
2024-06-07 17:26:28 UTC,1910,51.86020
2024-06-07 17:26:44 UTC,1911,50.52790
2024-06-07 17:27:00 UTC,1912,49.96459
2024-06-07 17:27:16 UTC,1913,52.32532
2024-06-07 17:27:33 UTC,1914,49.52809
2024-06-07 17:27:48 UTC,1915,49.81365
2024-06-07 17:28:04 UTC,1916,55.07094
2024-06-07 17:28:20 UTC,1917,50.80517
2024-06-07 17:28:36 UTC,1918,49.40571
2024-06-07 17:28:52 UTC,1919,49.88972
2024-06-07 17:29:08 UTC,1920,50.03180
2024-06-07 17:29:24 UTC,1921,49.98143
2024-06-07 17:29:40 UTC,1922,51.74176
2024-06-07 17:29:56 UTC,1923,50.98588
2024-06-07 17:30:12 UTC,1924,50.31819
2024-06-07 17:30:28 UTC,1925,50.57003
2024-06-07 17:30:44 UTC,1926,50.23392
2024-06-07 17:31:00 UTC,1927,49.91573
2024-06-07 17:31:16 UTC,1928,50.29068
2024-06-07 17:31:32 UTC,1929,50.12539
2024-06-07 17:31:48 UTC,1930,50.01083
2024-06-07 17:32:04 UTC,1931,49.34644
2024-06-07 17:32:20 UTC,1932,48.40032
2024-06-07 17:32:36 UTC,1933,48.69255
2024-06-07 17:32:52 UTC,1934,48.76832
2024-06-07 17:33:08 UTC,1935,50.00622
2024-06-07 17:33:24 UTC,1936,50.06030
2024-06-07 17:33:40 UTC,1937,49.78944
2024-06-07 17:33:56 UTC,1938,49.77688
2024-06-07 17:34:12 UTC,1939,50.08047
2024-06-07 17:34:28 UTC,1940,50.25290
2024-06-07 17:34:44 UTC,1941,49.93103
2024-06-07 17:35:00 UTC,1942,49.71638
2024-06-07 17:35:16 UTC,1943,48.92346
2024-06-07 17:35:32 UTC,1944,48.91188
2024-06-07 17:35:48 UTC,1945,48.83174
2024-06-07 17:36:04 UTC,1946,48.89882
2024-06-07 17:36:20 UTC,1947,49.69770
2024-06-07 17:36:36 UTC,1948,49.78796
2024-06-07 17:36:52 UTC,1949,49.61715
2024-06-07 17:37:08 UTC,1950,49.94503
2024-06-07 17:37:24 UTC,1951,50.34905
2024-06-07 17:37:40 UTC,1952,49.74039
2024-06-07 17:37:57 UTC,1953,49.85607
2024-06-07 17:38:12 UTC,1954,50.91130
2024-06-07 17:38:28 UTC,1955,50.09159
2024-06-07 17:38:44 UTC,1956,49.83025
2024-06-07 17:39:00 UTC,1957,49.60746
2024-06-07 17:39:16 UTC,1958,49.31524
2024-06-07 17:39:32 UTC,1959,49.50801
2024-06-07 17:39:48 UTC,1960,49.55871
2024-06-07 17:40:04 UTC,1961,50.70010
2024-06-07 17:40:20 UTC,1962,50.23900
2024-06-07 17:40:36 UTC,1963,50.43138
2024-06-07 19:10:01 UTC,1964,52.71320
